beta,se,z,p
"[0.10068880139408515, 0.22499181482805164]","[0.0547684048437071, 0.06411110062165173]","[1.8384468505413174, 3.509404964919085]","[0.06599658686171729, 0.000449110524720745]"
"[0.07084121001602156, 0.30964983855312284]","[0.0713534091855397, 0.07183461693908413]","[0.9928216580628085, 4.310593579356126]","[0.32079687336543145, 1.6281690853708163e-5]"
"[0.06710746729023503, 0.15824895749367077]","[0.07834312739821324, 0.07495517976831524]","[0.8565839725689269, 2.1112477881157075]","[0.3916748465099562, 0.03475101924046914]"
"[-0.04309969642842847, 0.2701131049327045]","[0.06790359212680656, 0.06910444903156539]","[-0.6347189460602017, 3.9087657700493756]","[0.525611734763184, 9.276885380410507e-5]"
"[0.012346415490401743, 0.1948676497006606]","[0.06795076516582191, 0.07601805440572618]","[0.18169648951373077, 2.5634390569983054]","[0.8558209210787968, 0.010364089403103703]"
"[0.1550621263565067, 0.1496343210293931]","[0.07236393176301123, 0.07610494897123407]","[2.1428095817724295, 1.9661575633662334]","[0.03212839161143117, 0.04928041276100698]"
"[0.054410121860825625, 0.3134225207085115]","[0.05846128314510719, 0.06769946340072491]","[0.930703517501897, 4.629616025954431]","[0.3520069496639746, 3.6634441158149067e-6]"
"[0.009660217940448695, 0.24492242589715224]","[0.053942962273136566, 0.06725492550218592]","[0.1790820810235602, 3.6417024339606434]","[0.8578732518273968, 0.0002708410283572598]"
"[0.019527444105010023, 0.1586722101998547]","[0.07118371307977561, 0.07854789238000114]","[0.2743246068538966, 2.0200696083890572]","[0.7838351760393266, 0.04337616776284637]"
"[-0.08027685854625481, 0.23862477319273726]","[0.07435744792913941, 0.07609621287218064]","[-1.0796075010906296, 3.1358298157827775]","[0.2803169997341894, 0.0017136861630948738]"
"[0.13244740222261767, 0.19120230893056814]","[0.0734763010726387, 0.08786903826175836]","[1.8025866883483985, 2.1759918250269688]","[0.0714531491503055, 0.02955587184257147]"
"[-0.0049787120897674016, 0.3378642691130755]","[0.060318105410538524, 0.07081759982895393]","[-0.08254092292656033, 4.770908219554469]","[0.9342165775487924, 1.8339709774128502e-6]"
"[-0.06541362803479456, 0.2199217061177094]","[0.06839792397687772, 0.07836135160308029]","[-0.9563686181017421, 2.806507310283103]","[0.3388860337023459, 0.005008177610297127]"
"[-0.062132892963688034, 0.23086812434638176]","[0.07104533548042288, 0.07126375953637572]","[-0.8745527421826202, 3.2396287516733935]","[0.38181731077172276, 0.0011968541833378555]"
"[0.01375944406218047, 0.16090727210501002]","[0.061866253340879564, 0.06727600513694378]","[0.22240629291653902, 2.39174831765761]","[0.823997613454292, 0.016768336609893426]"
"[0.01783768834676108, 0.2622833958872897]","[0.059903292472282516, 0.07203065872668651]","[0.29777475678844606, 3.6412744312459937]","[0.7658750821975824, 0.0002712917610910007]"
"[-0.008956861929219405, 0.23138212665518734]","[0.06143340219286624, 0.07385320295251638]","[-0.14579791464421762, 3.133000566054712]","[0.8840809221861193, 0.0017302910847685116]"
"[0.10841992198570376, 0.20029700057679725]","[0.061574609061626005, 0.0732019433054474]","[1.7607894493847835, 2.736225181086032]","[0.07827404624319542, 0.006214848184872951]"
"[-0.14505440414681794, 0.38501574440137054]","[0.06908898041974113, 0.08595563559091778]","[-2.0995302473065713, 4.479237943556687]","[0.035770184338256746, 7.490999339212735e-6]"
"[0.11461689814906963, 0.16022915088570608]","[0.06539312416096403, 0.0765954940187715]","[1.7527362336587886, 2.09188742677785]","[0.07964729312817687, 0.03644858708364028]"
"[-0.014212281500244778, 0.2203299262959521]","[0.0645624787966251, 0.07633258977561237]","[-0.2201322155708139, 2.886446365093009]","[0.8257681857209267, 0.0038961914841829258]"
"[0.01224630702688576, 0.27337600286623864]","[0.06620038728125112, 0.0870823156288486]","[0.1849884499143117, 3.139282653339029]","[0.8532380948571001, 0.0016936199967511783]"
"[-0.018999544892171722, 0.3258756679493305]","[0.06526632917273081, 0.08012040056806866]","[-0.2911079132685464, 4.067324497116975]","[0.7709687879870175, 4.755599963427853e-5]"
"[-0.12038033995327957, 0.3341237922548606]","[0.07050776676688604, 0.07939419224741266]","[-1.7073344607734218, 4.208416041486324]","[0.08775990441751673, 2.571670471842406e-5]"
"[-0.04983470434074803, 0.21717216118642516]","[0.061876858078146635, 0.05864592208600532]","[-0.8053851777317117, 3.7031076238845424]","[0.4205974424357307, 0.00021297447682532052]"
"[0.026262135965696744, 0.19984389982395925]","[0.06918192715757236, 0.07627458341246446]","[0.37960977736108353, 2.620058883091869]","[0.7042351019143307, 0.008791458556859004]"
"[-0.12197019551955633, 0.3366393330133141]","[0.060506240078868664, 0.07295197522832163]","[-2.0158283734135627, 4.614533492201086]","[0.043817925514476136, 3.9397924197171875e-6]"
"[0.10152979627096834, 0.18939916186245404]","[0.06824331273536759, 0.06746942282326969]","[1.4877618363088314, 2.807185150502454]","[0.13681371354174307, 0.004997650777583225]"
"[-0.008775519956279587, 0.3104634312761373]","[0.07828509016385361, 0.07440402452014855]","[-0.1120969515128883, 4.172669869384069]","[0.9107465345328843, 3.010509938442639e-5]"
"[0.049022131365873654, 0.1613984771062613]","[0.05965377161643968, 0.07150872687112701]","[0.8217775680819467, 2.2570458763324583]","[0.4112035028072881, 0.024005208296880517]"
"[0.06957024424536633, 0.2411512988555024]","[0.06214103298123717, 0.08319896959381883]","[1.1195540355174387, 2.8984890081309187]","[0.26290385209189165, 0.003749654519298768]"
"[0.05671757406222784, 0.2824921950308749]","[0.07321562852277859, 0.07421745800591847]","[0.7746648523898428, 3.806276887148945]","[0.4385377249439863, 0.00014107443974776534]"
"[0.09185791319326703, 0.07890251800254824]","[0.06600014152261884, 0.07056852787821948]","[1.391783579157728, 1.1180978316383585]","[0.16398794395136634, 0.2635252124376541]"
"[0.025448667278816464, 0.14196232545192705]","[0.05867416535826109, 0.07241020565020143]","[0.43372866275009386, 1.9605292400040595]","[0.6644854899735877, 0.04993396380027315]"
"[0.036481752543281995, 0.24974817312375044]","[0.06605082036144938, 0.076148275581103]","[0.5523285304201097, 3.2797613763131372]","[0.5807232868875618, 0.0010389492145842184]"
